video_name,model,gpu time,frame rate,f1,temporal,spatial,bandwidth
highway_18,faster_rcnn_resnet101,0.2,0.2,0.700252596,5,NA,NA
highway_18,faster_rcnn_resnet101,0.16,0.16,0.593304139,4,NA,NA
highway_18,faster_rcnn_resnet101,0.12,0.12,0.478849876,3,NA,NA
highway_18,faster_rcnn_resnet101,0.1,0.1,0.416290868,2.5,NA,NA
highway_18,faster_rcnn_resnet101,0.08,0.08,0.349443427,2,NA,NA
highway_18,faster_rcnn_resnet101,0.072,0.072,0.320354718,1.8,NA,NA
highway_18,faster_rcnn_resnet101,0.06,0.06,0.273324213,1.5,NA,NA
highway_18,faster_rcnn_resnet101,0.048,0.048,0.223326432,1.2,NA,NA
highway_18,faster_rcnn_resnet101,0.04,0.04,0.187225605,1,NA,NA
highway_19,faster_rcnn_resnet101,0.04,0.04,0.15903976,1,NA,NA
highway_19,faster_rcnn_inception_v2,0.021886792,0.04,0.139190166,1,NA,NA
highway_19,ssd_mobilenet_v2,0.011698113,0.04,0.109505186,1,NA,NA
highway_19,faster_rcnn_resnet101,0.8,0.8,0.991084165,20,NA,NA
highway_19,faster_rcnn_resnet101,0.6,0.6,0.983804947,15,NA,NA
highway_19,faster_rcnn_resnet101,0.4,0.4,0.926131282,10,NA,NA
highway_19,faster_rcnn_resnet101,0.2,0.2,0.663080509,5,NA,NA
highway_19,faster_rcnn_resnet101,0.16,0.16,0.549132948,4,NA,NA
highway_19,faster_rcnn_resnet101,0.12,0.12,0.440121364,3,NA,NA
highway_19,faster_rcnn_resnet101,0.1,0.1,0.375203915,2.5,NA,NA
highway_19,faster_rcnn_resnet101,0.08,0.08,0.303806735,2,NA,NA
highway_19,faster_rcnn_resnet101,0.072,0.072,0.294819299,1.8,NA,NA
highway_19,faster_rcnn_resnet101,0.06,0.06,0.250264364,1.5,NA,NA
highway_19,faster_rcnn_resnet101,0.048,0.048,0.195329087,1.2,NA,NA
highway_19,faster_rcnn_resnet101,0.04,0.04,0.15903976,1,NA,NA
highway_20,faster_rcnn_resnet101,0.04,0.04,0.156626506,1,NA,NA
highway_20,faster_rcnn_inception_v2,0.021886792,0.04,0.13402636,1,NA,NA
highway_20,ssd_mobilenet_v2,0.011698113,0.04,0.109058927,1,NA,NA
highway_20,faster_rcnn_resnet101,0.8,0.8,0.989146165,20,NA,NA
highway_20,faster_rcnn_resnet101,0.6,0.6,0.977446344,15,NA,NA
highway_20,faster_rcnn_resnet101,0.4,0.4,0.928545651,10,NA,NA
highway_20,faster_rcnn_resnet101,0.2,0.2,0.670281996,5,NA,NA
highway_20,faster_rcnn_resnet101,0.16,0.16,0.557431193,4,NA,NA
highway_20,faster_rcnn_resnet101,0.12,0.12,0.444728668,3,NA,NA
highway_20,faster_rcnn_resnet101,0.1,0.1,0.391988555,2.5,NA,NA
highway_20,faster_rcnn_resnet101,0.08,0.08,0.311997074,2,NA,NA
highway_20,faster_rcnn_resnet101,0.072,0.072,0.290676417,1.8,NA,NA
highway_20,faster_rcnn_resnet101,0.06,0.06,0.236818099,1.5,NA,NA
highway_20,faster_rcnn_resnet101,0.048,0.048,0.195228556,1.2,NA,NA
highway_20,faster_rcnn_resnet101,0.04,0.04,0.156626506,1,NA,NA
highway_21,faster_rcnn_resnet101,0.04,0.04,0.165233329,1,NA,NA
highway_21,faster_rcnn_inception_v2,0.021886792,0.04,0.139494834,1,NA,NA
highway_21,ssd_mobilenet_v2,0.011698113,0.04,0.115672605,1,NA,NA
highway_21,faster_rcnn_resnet101,0.8,0.8,0.988113991,20,NA,NA
highway_21,faster_rcnn_resnet101,0.6,0.6,0.980465384,15,NA,NA
highway_21,faster_rcnn_resnet101,0.4,0.4,0.920657613,10,NA,NA
highway_21,faster_rcnn_resnet101,0.2,0.2,0.634821047,5,NA,NA
highway_21,faster_rcnn_resnet101,0.16,0.16,0.552219509,4,NA,NA
highway_21,faster_rcnn_resnet101,0.12,0.12,0.442387124,3,NA,NA
highway_21,faster_rcnn_resnet101,0.1,0.1,0.383311975,2.5,NA,NA
highway_21,faster_rcnn_resnet101,0.08,0.08,0.316936756,2,NA,NA
highway_21,faster_rcnn_resnet101,0.072,0.072,0.290253328,1.8,NA,NA
highway_21,faster_rcnn_resnet101,0.06,0.06,0.24592009,1.5,NA,NA
highway_21,faster_rcnn_resnet101,0.048,0.048,0.198779425,1.2,NA,NA
highway_21,faster_rcnn_resnet101,0.04,0.04,0.165233329,1,NA,NA
highway_22,faster_rcnn_resnet101,0.04,0.04,0.129340893,1,NA,NA
highway_22,faster_rcnn_inception_v2,0.021886792,0.04,0.113636364,1,NA,NA
highway_22,ssd_mobilenet_v2,0.011698113,0.04,0.10191486,1,NA,NA
highway_22,faster_rcnn_resnet101,0.8,0.8,0.988087134,20,NA,NA
highway_22,faster_rcnn_resnet101,0.6,0.6,0.976704642,15,NA,NA
